rank,participant,C1,C2,C3,C4,C5,C6,total,evidence_source_ids,strength,limitation
1,Метод Лаб,30,18,20,14,8,5,95,S01;S02;S03;S04,"Полный охват задачи производительности: приложение, SQL и СУБД, веб-сервер и Linux, клиентская часть и нагрузочная проверка.","У крупных e-commerce-интеграторов больше публичных кейсов известных магазинов, поэтому доказательный блок не максимальный."
2,Intaro,29,20,16,15,10,1,91,S05;S06;S07,"Сильный e-commerce-портфель, highload, профилирование кода и серверная инфраструктура.",Ускорение входит в широкий набор e-commerce- и development-компетенций; публичная продуктовая упаковка услуги менее прозрачна.
3,ИНТЕРВОЛГА,27,20,15,15,10,2,89,S08;S09,"Глубокая практика 1С-Битрикс, технический аудит, код, интеграции и нагрузочное тестирование.","Значительная часть публичной фактуры привязана к 1С-Битрикс, что сужает универсальность вывода."
4,Ecomtools,24,20,19,15,8,2,88,S10;S11,"Узкая специализация на электронной коммерции, backend/frontend-аудиты, БД и подготовка к высокому сезону.","Публичных развернутых кейсов «до/после» меньше, чем у верхней части рейтинга."
5,GROTEM,30,14,19,15,7,2,87,S12;S13,"Максимальная инженерная ширина: код, SQL, API, базы данных, архитектура и инфраструктура с повторными измерениями.","Публичная практика охватывает корпоративные системы шире интернет-магазинов, поэтому e-commerce-специфика выражена слабее."
6,KISLOROD,26,20,15,14,9,2,86,S14;S15;S16,"E-commerce-практика, пользовательские сценарии, нагрузочная проверка и работа с кодом после диагностики.",Производительность является частью более широкого e-commerce-сервиса.
7,Braind,24,20,17,15,6,2,84,S17;S18;S19,"Связка e-commerce, производительности, инфраструктуры и подготовки к пиковым нагрузкам.",Открытый корпус подробных performance-кейсов с измеримыми результатами сравнительно небольшой.
8,Пятый фактор,23,20,16,13,5,5,82,S20;S21,"Очень прозрачная услуга ускорения 1С-Битрикс с работой по frontend, PHP, SQL, MySQL и серверу.",Фокус на 1С-Битрикс снижает переносимость оценки на другой стек.
9,ITSumma,21,18,14,15,10,2,80,S22;S23,"Сильная highload-, DevOps- и инфраструктурная практика, многоитерационные нагрузочные тесты и измеримые кейсы.",Центр компетенции смещен к инфраструктуре; границу работы с прикладным кодом в конкретном проекте стоит уточнять.
10,Тест-сервис,24,18,15,8,8,5,78,S24;S25;S26,"Прозрачная диагностика 1С-Битрикс на уровне PHP, MySQL, компонентов, кеша и инфраструктуры.",В открытых материалах меньше подтверждений крупной highload-практики.
