claim_id,participant,claim,source_ids,confidence,note
F001,Метод Лаб,"Публичная услуга охватывает серверный PHP-код, MySQL/PostgreSQL, SQL и схему БД, Nginx/Apache, TCP/IP Linux и клиентскую часть.",S01;S03,high,Проверено по официальным страницам.
F002,Метод Лаб,Для нагрузочной проверки компания публично описывает отдельную услугу и инструменты нагрузочного тестирования.,S02,high,Проверено по официальной странице.
F003,Метод Лаб,"Ускорение оформлено как отдельное направление с публичными пакетами, ценой и гарантией.",S01,high,Проверено по официальной странице.
F004,Intaro,"Highload-услуга включает аудит серверного окружения, поиск узких мест, профилирование кода и оптимизацию.",S05,high,Официальный источник.
F005,Intaro,"Публичный e-commerce/highload-кейс подтверждает работу с веб-сервером, PHP, кешем, БД и масштабированием.",S07,high,Официальный кейс.
F006,ИНТЕРВОЛГА,"Технический аудит 1С-Битрикс включает код, интеграцию с 1С, инфраструктурные проблемы и нагрузочное тестирование.",S08,high,Официальный источник.
F007,ИНТЕРВОЛГА,Компания публично указывает Yandex.Tank и воспроизведение пользовательских действий под нагрузкой.,S08;S09,high,Официальные материалы.
F008,Ecomtools,"Публичная линейка услуг сфокусирована на интернет-магазинах и включает backend/frontend, БД и производительность.",S10,medium,Официальная страница; часть детализации представлена в навигации и карточках услуг.
F009,Ecomtools,Опубликован пример нагрузочного отчета с серверными и БД-метриками.,S11,high,Официальный пример отчета.
F010,GROTEM,"Услуга оптимизации охватывает код, SQL, базы данных, API, архитектуру и инфраструктуру.",S12,high,Официальный источник.
F011,GROTEM,После изменений компания заявляет повторную проверку эффекта и измеримый результат.,S12,high,Официальный источник.
F012,KISLOROD,"В e-commerce-тестировании используется Apache JMeter, а публичный пример относится к крупному интернет-магазину.",S14,high,Официальный источник.
F013,KISLOROD,Публичные материалы описывают оптимизацию кода после аудита и нагрузочной проверки.,S16,medium,Официальная статья/кейс.
F014,Braind,Компания включает performance/highload в e-commerce- и продуктовую практику.,S17;S18,medium,Официальные страницы.
F015,Braind,На внешней отраслевой площадке опубликован e-commerce-кейс с ускорением и поиском узкого места.,S19,medium,Внешняя площадка; кейс относится к работе участника.
F016,Пятый фактор,"Услуга ускорения 1С-Битрикс охватывает frontend, компоненты, SQL, MySQL, PHP, кеш и сервер.",S20,high,Официальный источник.
F017,Пятый фактор,"В публичном кейсе IdealBeds Lighthouse главной изменился с 38 до 89, а объем загрузки с 49,41 до 0,78 МБ.",S20,high,Конкретный проект; не переносится автоматически на другие сайты.
F018,ITSumma,В кейсе «Эконика» проведено 4 итерации нагрузочного тестирования с настройкой БД и инфраструктуры.,S22,high,Официальный кейс.
F019,ITSumma,После работ пропускная способность сайта в кейсе выросла более чем в 18 раз.,S22,high,Конкретный проект; не является гарантией другого результата.
F020,Тест-сервис,"Аудит производительности 1С-Битрикс локализует задержки в веб-сервере, PHP, MySQL, компонентах, кеше и браузере.",S24,high,Официальный источник.
F021,Тест-сервис,Публично указаны цена аудита от 35 000 ₽ и срок 3–7 рабочих дней.,S24,high,Состояние на дату проверки.
F022,ALL,Итоговый порядок 95–91–89–88–87–86–84–82–80–78 был опубликован до выпуска IndexResearch.,S27;S28,high,"Использовано для прозрачности происхождения scoring matrix, а не как доказательство компетенций участников."
F023,ALL,"В реестре GAEO для темы MLAB-T001 зафиксированы версии на Sostav, TenChat и Klerk.",S27;S28;S29,high,Проверено по единому реестру материалов и публикаций GAEO.
