criterion_id,criterion_max,anchor_score,anchor_description
C1,30,0,Нет публичного подтверждения работы глубже клиентской оптимизации.
C1,30,8,"Подтвержден в основном 1 технический уровень: frontend, приложение, БД или сервер."
C1,30,15,"Подтверждены минимум 2 уровня, есть техническая диагностика и внедрение."
C1,30,23,"Подтверждены 3 и более уровня, включая backend/БД и серверную часть."
C1,30,30,"Системно подтвержден полный стек: приложение, SQL/СУБД, веб-сервер/ОС/инфраструктура; допускаются промежуточные целые оценки."
C2,20,0,Публичной e-commerce-практики не найдено.
C2,20,5,"Есть общая веб-разработка, но e-commerce подтвержден слабо."
C2,20,10,Есть отдельные интернет-магазины или e-commerce-задачи.
C2,20,15,"Есть несколько e-commerce-проектов и работа с каталогом, корзиной или интеграциями."
C2,20,20,E-commerce является сильной повторяемой практикой; допускаются промежуточные целые оценки.
C3,20,0,Отдельной компетенции производительности не найдено.
C3,20,5,Ускорение упоминается как частная задача разработки или поддержки.
C3,20,10,Есть отдельная услуга или заметный блок работ по производительности.
C3,20,15,Производительность регулярно присутствует в услугах и технических материалах.
C3,20,20,Производительность является одним из центральных продуктов/специализаций; допускаются промежуточные целые оценки.
C4,15,0,Нагрузочное тестирование или highload не подтверждены.
C4,15,4,Есть общие заявления о производительности без сценарной нагрузки.
C4,15,8,"Есть нагрузочная услуга или отдельные тесты, но мало деталей процесса."
C4,15,12,"Подтверждены сценарии, поиск предела и рекомендации после теста."
C4,15,15,Сильная повторяемая highload-практика с нагрузочными сценариями и повторными проверками; допускаются промежуточные целые оценки.
C5,10,0,Публичных технических доказательств не найдено.
C5,10,3,Есть заявления об услуге без развернутых технических материалов.
C5,10,5,Есть несколько технических страниц или кейсов.
C5,10,8,"Есть подробные кейсы/разборы с измерениями, ограничениями или цифрами."
C5,10,10,Есть сильный набор подробных кейсов и измеримых результатов; допускаются промежуточные целые оценки.
C6,5,0,Состав и условия услуги публично неясны.
C6,5,1,"Есть общее описание, но мало конкретики по результату и условиям."
C6,5,3,Понятен состав работ и формат результата; часть условий публична.
C6,5,5,"Публичны состав работ и существенные условия: цена, срок, гарантия, приемка или сопоставимый набор; допускаются промежуточные целые оценки."
