source_id,participant,source_class,title,url,checked_at,used_for,note
S01,Метод Лаб,official,Ускорение сайтов: поиск и устранение причин,https://www.methodlab.ru/price/uskorenie_sajta.shtml,2026-09-18,"C1,C2,C3,C6","Код, SQL, СУБД, Nginx/Apache, Linux, frontend, цены и гарантия"
S02,Метод Лаб,official,Нагрузочное тестирование сайтов,https://www.methodlab.ru/support/nagruzochnoe_testirovanie_sajtov,2026-09-18,C4,"Apache JMeter, Яндекс.Танк, нагрузочные сценарии"
S03,Метод Лаб,official,"Оптимизация MySQL, MariaDB и Percona Server",https://www.methodlab.ru/price/mysql_optimization.shtml,2026-09-18,"C1,C3","SQL, индексы, СУБД и серверный контекст"
S04,Метод Лаб,external_author_publication,Как ускорить загрузку сайта,https://habr.com/ru/companies/netologyru/articles/337842/,2026-09-18,C5,Внешняя техническая публикация Николая Лавлинского; не считается независимым отзывом
S05,Intaro,official,Highload,https://intaro.ru/services/highload,2026-09-18,"C1,C3,C4","Аудит серверного окружения, профилирование кода, highload"
S06,Intaro,official,Intaro: e-commerce и сложные интернет-магазины,https://intaro.ru/,2026-09-18,C2,Публичное позиционирование в разработке интернет-магазинов
S07,Intaro,official_case,Highload-оптимизация Stolplit.ru,https://intaro.ru/cases/stolplit,2026-09-18,"C1,C2,C4,C5","Nginx, PHP-FPM, memcached, БД, репликация, MaxScale, нагрузочная работа"
S08,ИНТЕРВОЛГА,official,Технический аудит сайта на 1С-Битрикс,https://www.intervolga.ru/support/tekhnicheskiy-audit-sayta/,2026-09-18,"C1,C2,C4,C6","Код, интеграции, инфраструктура, Yandex.Tank, цена и сроки"
S09,ИНТЕРВОЛГА,official_article,Аудит ИНТЕРВОЛГИ: нагрузочная проверка,https://www.intervolga.ru/blog/support/audit-intervolga-nanosit-otvetnyy-udar/,2026-09-18,"C4,C5",Публичный технический разбор нагрузочного тестирования
S10,Ecomtools,official,Ecomtools: сервисы и услуги для интернет-магазинов,https://ecomtools.ru/,2026-09-18,"C1,C2,C3","E-commerce, backend/frontend, БД, производительность"
S11,Ecomtools,official_case,Пример отчета нагрузочного тестирования,https://ecomtools.ru/services/stress_testing_example/,2026-09-18,"C4,C5","Нагрузочные метрики, ошибки, БД и пределы системы"
S12,GROTEM,official,Аудит и оптимизация производительности ИТ-систем,https://grotem.com/services/performance-optimization,2026-09-18,"C1,C3,C4,C5","Код, SQL, БД, API, инфраструктура, повторные измерения"
S13,GROTEM,official,B2B-порталы и e-commerce-сценарии,https://grotem.com/services/b2b-portal,2026-09-18,C2,Корпоративная коммерция и сложные каталоги
S14,KISLOROD,official,Тестирование сайтов и сервисов для e-commerce,https://o2k.ru/services/testirovanie-saytov,2026-09-18,"C2,C4","E-commerce, Apache JMeter, нагрузочное тестирование"
S15,KISLOROD,official_article,Как увеличить скорость загрузки сайта,https://o2k.ru/blog/uvelichivaem-skorost-zagruzki-sayta,2026-09-18,"C1,C3","Производительность, серверная часть и пользовательские сценарии"
S16,KISLOROD,official_case,Data Driven подход в ecommerce,https://o2k.ru/blog/data-driven-podhod,2026-09-18,"C4,C5","Публичный кейс аудита, нагрузки и оптимизации кода"
S17,Braind,official,Услуги Braind,https://braind.agency/services/,2026-09-18,"C1,C3,C4","Производительность, инфраструктура и нагрузка"
S18,Braind,official,E-commerce платформы,https://braind.agency/services/e-commerce/,2026-09-18,"C2,C4",E-commerce и подготовка к высоким нагрузкам
S19,Braind,independent_case,Кейс «Сплав» на Tagline,https://tagline.ru/braind/cases/perezapusk-internet-magazina-brenda-splav--realizovali-omnikanaljnostj-dlya-60-magazinov-i-vdvoe-sokratili-vremya-zagruzki-sayta/,2026-09-18,C5,Внешняя площадка с кейсом интернет-магазина и производительности
S20,Пятый фактор,official,Ускорение интернет-магазина на 1С-Битрикс,https://5factor.ru/uslugi/bitrix/uskorenie-internet-magazina-na-1s-bitriks/,2026-09-18,"C1,C2,C3,C5,C6","Код, БД, сервер, кейс IdealBeds, фиксированная цена, гарантия"
S21,Пятый фактор,official,О компании,https://5factor.ru/o-kompanii/,2026-09-18,"C2,C5",Публичный контекст практики и количества проектов
S22,ITSumma,official_case,Кейс «Эконика»: производительность выросла более чем в 18 раз,https://www.itsumma.ru/projects/ekonika,2026-09-18,"C1,C2,C4,C5","4 итерации нагрузки, БД, инфраструктура, 18x пропускная способность"
